created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2023-02-16T14:00:24-06:00,1,16633.33203,5103533.00000,0.91043,-0.75000,,,,
2023-02-16T14:02:32-06:00,2,15699.99902,5118950.00000,0.96747,-0.75000,,,,
2023-02-16T14:04:40-06:00,3,15733.33301,5145133.00000,0.97036,-0.75000,,,,
2023-02-16T14:06:47-06:00,4,16049.99902,5270416.50000,0.97437,-0.50000,,,,
2023-02-16T14:08:55-06:00,5,15099.99902,5188350.00000,1.01955,-0.50000,,,,
2023-02-16T14:11:03-06:00,6,14866.66602,5193416.50000,1.03656,-0.75000,,,,
2023-02-16T14:13:11-06:00,7,14866.66602,5205100.00000,1.03889,-1.00000,,,,
2023-02-16T14:15:18-06:00,8,14616.66602,5190283.00000,1.05365,-1.00000,,,,
2023-02-16T14:17:26-06:00,9,14716.66602,5192450.00000,1.04693,-1.00000,,,,
2023-02-16T14:19:34-06:00,10,13916.66602,5189100.00000,1.10640,-1.25000,,,,
2023-02-16T14:21:41-06:00,11,14166.66602,5179350.00000,1.08483,-1.25000,,,,
2023-02-16T14:23:49-06:00,12,13699.99902,5179233.00000,1.12176,-1.25000,,,,
2023-02-16T14:25:57-06:00,13,14016.66602,5171333.00000,1.09474,-1.25000,,,,
2023-02-16T14:28:05-06:00,14,13949.99902,5191600.00000,1.10429,-1.50000,,,,
2023-02-16T14:30:12-06:00,15,13583.33301,5176433.00000,1.13078,-1.75000,,,,
2023-02-16T14:32:20-06:00,16,13699.99902,5178500.00000,1.12160,-2.00000,,,,
2023-02-16T14:34:28-06:00,17,13749.99902,5169000.00000,1.11547,-2.50000,,,,
2023-02-16T14:36:36-06:00,18,13466.66602,5158566.50000,1.13664,-2.00000,,,,
2023-02-16T14:38:43-06:00,19,13549.99902,5166700.00000,1.13143,-2.75000,,,,
2023-02-16T14:40:51-06:00,20,13383.33301,5158083.00000,1.14361,-3.00000,,,,
2023-02-16T14:42:59-06:00,21,13449.99902,5140133.00000,1.13398,-3.00000,,,,
2023-02-16T14:45:07-06:00,22,13099.99902,5144383.00000,1.16524,-3.50000,,,,
2023-02-16T14:47:15-06:00,23,13533.33301,5161166.50000,1.13161,-3.75000,,,,
2023-02-16T14:49:22-06:00,24,13399.99902,5159916.50000,1.14260,-4.00000,,,,
2023-02-16T14:51:30-06:00,25,12866.66602,5155566.50000,1.18895,-4.25000,,,,
2023-02-16T14:53:38-06:00,26,13416.66602,5162583.00000,1.14177,-4.75000,,,,
2023-02-16T14:55:45-06:00,27,12999.99902,5123183.00000,1.16937,-5.25000,,,,
2023-02-16T14:57:53-06:00,28,12800.00000,5112183.00000,1.18509,-6.00000,,,,
2023-02-16T15:00:01-06:00,29,13083.33301,5111416.50000,1.15925,-6.50000,,,,
2023-02-16T15:02:09-06:00,30,13049.99902,5101600.00000,1.15998,-7.00000,,,,
2023-02-16T15:04:16-06:00,31,12650.00000,5101066.50000,1.19654,-8.00000,,,,
2023-02-16T15:06:24-06:00,32,12666.66602,5092750.00000,1.19301,-9.00000,,,,
2023-02-16T15:08:32-06:00,33,12800.00000,5097533.00000,1.18169,-9.50000,,,,
2023-02-16T15:10:40-06:00,34,12516.66602,5091500.00000,1.20701,-10.25000,,,,
2023-02-16T15:12:47-06:00,35,12250.00000,5082333.00000,1.23107,-10.50000,,,,
2023-02-16T15:14:55-06:00,36,12883.33301,5078783.00000,1.16973,-11.00000,,,,
2023-02-16T15:17:03-06:00,37,12383.33301,5067783.00000,1.21433,-11.25000,,,,
2023-02-16T15:19:11-06:00,38,12700.00000,5070216.50000,1.18462,-11.75000,,,,
2023-02-16T15:21:18-06:00,39,12716.66602,5062583.00000,1.18128,-12.00000,,,,
2023-02-16T15:23:26-06:00,40,12266.66602,5061233.00000,1.22429,-12.25000,,,,
2023-02-16T15:25:34-06:00,41,11983.33301,5050983.00000,1.25070,-12.75000,,,,
