created_at,entry_id,period_low,period_high,ratio,temperature
2022-02-21T14:43:09-06:00,51,1362,636264,3.18170,0
2022-02-21T14:43:25-06:00,52,1394,642528,3.13927,0
2022-02-21T14:43:41-06:00,53,1043,622216,4.06308,0
2022-02-21T14:43:57-06:00,54,1400,616648,2.99991,0
2022-02-21T14:44:13-06:00,55,1396,632546,3.08607,0
2022-02-21T14:44:29-06:00,56,1400,651110,3.16756,0
2022-02-21T14:44:46-06:00,57,1362,629894,3.14985,0
2022-02-21T14:45:02-06:00,58,1358,641428,3.21697,0
2022-02-21T14:45:18-06:00,59,1414,622956,3.00059,0
2022-02-21T14:45:34-06:00,60,1406,669572,3.24348,0
2022-02-21T14:45:50-06:00,61,1394,667070,3.25917,0
2022-02-21T14:46:06-06:00,62,1404,627218,3.04264,0
2022-02-21T14:46:23-06:00,63,1396,658412,3.21226,0
2022-02-21T14:46:39-06:00,64,1348,669116,3.38073,0
2022-02-21T14:46:55-06:00,65,1388,654048,3.20936,0
2022-02-21T14:47:11-06:00,66,1410,622740,3.00806,0
2022-02-21T14:47:27-06:00,67,1416,624416,3.00338,0
2022-02-21T14:47:44-06:00,68,1366,655660,3.26909,0
2022-02-21T14:48:00-06:00,69,1402,611638,2.97129,0
2022-02-21T14:48:16-06:00,70,1376,660814,3.27084,0
2022-02-21T14:48:32-06:00,71,1380,643778,3.17728,0
2022-02-21T14:48:48-06:00,72,1426,614966,2.93718,0
2022-02-21T14:49:04-06:00,73,1384,632316,3.11169,0
2022-02-21T14:49:21-06:00,74,1428,615688,2.93651,0
2022-02-21T14:49:37-06:00,75,1434,642946,3.05369,0
2022-02-21T14:49:53-06:00,76,1438,641892,3.04020,0
2022-02-21T14:50:09-06:00,77,1376,617350,3.05571,0
2022-02-21T14:50:25-06:00,78,1398,645892,3.14667,0
2022-02-21T14:50:41-06:00,79,1442,614570,2.90272,0
2022-02-21T14:50:57-06:00,80,1430,614042,2.92456,0
2022-02-21T14:51:14-06:00,81,1442,642108,3.03279,0
2022-02-21T14:51:30-06:00,82,1454,642300,3.00866,0
2022-02-21T14:51:46-06:00,83,1406,653260,3.16446,0
2022-02-21T14:52:02-06:00,84,1414,623920,3.00523,0
2022-02-21T14:52:18-06:00,85,1414,634680,3.05706,0
2022-02-21T14:52:35-06:00,86,1412,659070,3.17904,0
2022-02-21T14:52:51-06:00,87,1456,626710,2.93160,0
2022-02-21T14:53:07-06:00,88,1424,620820,2.96930,0
2022-02-21T14:53:23-06:00,89,1464,650190,3.02481,0
2022-02-21T14:53:39-06:00,90,1424,629184,3.00931,0
2022-02-21T14:53:56-06:00,91,1468,620022,2.87660,0
2022-02-21T14:54:12-06:00,92,1432,664244,3.15925,0
2022-02-21T14:54:28-06:00,93,1430,660160,3.14421,0
2022-02-21T14:54:44-06:00,94,1400,651970,3.17175,0
2022-02-21T14:55:00-06:00,95,1412,665998,3.21246,0
2022-02-21T14:55:16-06:00,96,1446,659964,3.10850,0
2022-02-21T14:55:33-06:00,97,1440,640568,3.02971,0
2022-02-21T14:55:49-06:00,98,1504,628070,2.84419,0
2022-02-21T14:56:05-06:00,99,1490,645140,2.94894,0
2022-02-21T14:56:21-06:00,100,1486,654400,2.99932,0
2022-02-21T14:56:37-06:00,101,1494,677740,3.08967,0
2022-02-21T14:56:53-06:00,102,1514,642950,2.89235,0
2022-02-21T14:57:09-06:00,103,1500,633886,2.87819,0
2022-02-21T14:57:26-06:00,104,1512,662306,2.98336,0
2022-02-21T14:57:42-06:00,105,1510,681516,3.07396,0
2022-02-21T14:57:58-06:00,106,1462,636714,2.96617,0
2022-02-21T14:58:14-06:00,107,1474,680500,3.14434,0
2022-02-21T14:58:30-06:00,108,1468,665300,3.08667,0
2022-02-21T14:58:47-06:00,109,1500,657456,2.98521,0
2022-02-21T14:59:03-06:00,110,1518,683814,3.06807,0
2022-02-21T14:59:19-06:00,111,1516,649836,2.91947,0
2022-02-21T14:59:35-06:00,112,1520,689052,3.08750,0
2022-02-21T14:59:51-06:00,113,1518,648748,2.91074,0
2022-02-21T15:00:07-06:00,114,1484,653036,2.99711,0
2022-02-21T15:00:23-06:00,115,1480,687360,3.16316,0
2022-02-21T15:00:40-06:00,116,1542,701512,3.09849,0
2022-02-21T15:00:56-06:00,117,1546,657562,2.89685,0
2022-02-21T15:01:12-06:00,118,1526,657340,2.93383,0
2022-02-21T15:01:28-06:00,119,1536,657676,2.91622,0
2022-02-21T15:01:44-06:00,120,1538,661626,2.92992,0
2022-02-21T15:02:01-06:00,121,1542,670154,2.95998,0
2022-02-21T15:02:17-06:00,122,1546,698140,3.07561,0
2022-02-21T15:02:33-06:00,123,1548,707668,3.11356,0
2022-02-21T15:02:49-06:00,124,1542,690038,3.04781,0
2022-02-21T15:03:05-06:00,125,1552,663588,2.91210,0
2022-02-21T15:03:21-06:00,126,1508,678792,3.06573,0
2022-02-21T15:03:38-06:00,127,1518,674754,3.02742,0
2022-02-21T15:03:54-06:00,128,1534,681974,3.02790,0
2022-02-21T15:04:10-06:00,129,1562,679630,2.96340,0
2022-02-21T15:04:26-06:00,130,1522,718686,3.21605,0
2022-02-21T15:04:42-06:00,131,1568,671312,2.91593,0
2022-02-21T15:04:58-06:00,132,1532,674462,2.99846,0
2022-02-21T15:05:15-06:00,133,1534,713838,3.16937,0
2022-02-21T15:05:31-06:00,134,1536,678640,3.00917,0
2022-02-21T15:05:47-06:00,135,1574,686408,2.97014,0
2022-02-21T15:06:03-06:00,136,1584,671472,2.88717,0
2022-02-21T15:06:19-06:00,137,1570,724566,3.14324,0
2022-02-21T15:06:35-06:00,138,1592,719144,3.07660,0
2022-02-21T15:06:51-06:00,139,1594,723054,3.08945,0
2022-02-21T15:07:08-06:00,140,1554,673532,2.95193,0
2022-02-21T15:07:24-06:00,141,1602,689342,2.93070,0
2022-02-21T15:07:40-06:00,142,1968,722702,2.50111,0
2022-02-21T15:07:56-06:00,143,1564,675772,2.94281,0
2022-02-21T15:08:12-06:00,144,1558,728364,3.18405,0
2022-02-21T15:08:28-06:00,145,1576,727606,3.14441,0
2022-02-21T15:08:45-06:00,146,1564,723614,3.15115,0
2022-02-21T15:09:01-06:00,147,1560,680930,2.97288,0
2022-02-21T15:09:17-06:00,148,1556,710700,3.11083,0
2022-02-21T15:09:33-06:00,149,1562,727206,3.17085,0
2022-02-21T15:09:49-06:00,150,1556,715062,3.12992,0
2022-02-21T15:10:05-06:00,151,1558,716186,3.13081,0
2022-02-21T15:10:22-06:00,152,1602,721760,3.06852,0
2022-02-21T15:10:38-06:00,153,1554,697140,3.05540,0
2022-02-21T15:10:54-06:00,154,1600,698918,2.97512,0
2022-02-21T15:11:10-06:00,155,1600,671844,2.85988,0
2022-02-21T15:11:26-06:00,156,1620,676996,2.84623,0
2022-02-21T15:11:43-06:00,157,1602,704172,2.99375,0
2022-02-21T15:11:59-06:00,158,1622,693820,2.91336,0
2022-02-21T15:12:15-06:00,159,1580,670624,2.89082,0
2022-02-21T15:12:31-06:00,160,1628,723756,3.02787,0
2022-02-21T15:12:47-06:00,161,1588,706396,3.02968,0
2022-02-21T15:13:03-06:00,162,1602,689870,2.93294,0
2022-02-21T15:13:20-06:00,163,1628,710858,2.97391,0
2022-02-21T15:13:36-06:00,164,1610,725300,3.06825,0
